protocol,model,folds,n_train_min,n_train_max,n_test_total,correct_total,mean_fold_accuracy,selected_features_mean,accuracy
all_conditions_leave_one_sentence_out,logistic_regression,5,252,252,315,279,0.8857142857142858,228.4,0.8857142857142857
all_conditions_leave_one_sentence_out,random_forest,5,252,252,315,300,0.9523809523809523,228.4,0.9523809523809523
all_conditions_leave_one_sentence_out,voting_rf_lr_svc,5,252,252,315,289,0.9174603174603174,228.4,0.9174603174603174
human_clean_and_noise_leave_one_sentence_out,logistic_regression,5,168,168,210,185,0.880952380952381,226.6,0.8809523809523809
human_clean_and_noise_leave_one_sentence_out,random_forest,5,168,168,210,195,0.9285714285714285,226.6,0.9285714285714286
human_clean_and_noise_leave_one_sentence_out,voting_rf_lr_svc,5,168,168,210,191,0.9095238095238095,226.6,0.9095238095238095
human_clean_leave_one_sentence_out,logistic_regression,5,84,84,105,87,0.8285714285714286,226.6,0.8285714285714286
human_clean_leave_one_sentence_out,random_forest,5,84,84,105,100,0.9523809523809523,226.6,0.9523809523809523
human_clean_leave_one_sentence_out,voting_rf_lr_svc,5,84,84,105,92,0.8761904761904761,226.6,0.8761904761904762
human_noise_leave_one_sentence_out,logistic_regression,5,84,84,105,99,0.9428571428571428,225.0,0.9428571428571428
human_noise_leave_one_sentence_out,random_forest,5,84,84,105,101,0.9619047619047618,225.0,0.9619047619047619
human_noise_leave_one_sentence_out,voting_rf_lr_svc,5,84,84,105,99,0.9428571428571428,225.0,0.9428571428571428
train_human_clean_and_noise_test_tts,logistic_regression,1,210,210,105,80,0.7619047619047619,227.0,0.7619047619047619
train_human_clean_and_noise_test_tts,random_forest,1,210,210,105,87,0.8285714285714286,227.0,0.8285714285714286
train_human_clean_and_noise_test_tts,voting_rf_lr_svc,1,210,210,105,82,0.780952380952381,227.0,0.780952380952381
train_human_clean_test_human_noise,logistic_regression,1,105,105,105,65,0.6190476190476191,227.0,0.6190476190476191
train_human_clean_test_human_noise,random_forest,1,105,105,105,87,0.8285714285714286,227.0,0.8285714285714286
train_human_clean_test_human_noise,voting_rf_lr_svc,1,105,105,105,68,0.6476190476190476,227.0,0.6476190476190476
train_tts_and_human_clean_test_human_noise,logistic_regression,1,210,210,105,73,0.6952380952380952,229.0,0.6952380952380952
train_tts_and_human_clean_test_human_noise,random_forest,1,210,210,105,83,0.7904761904761904,229.0,0.7904761904761904
train_tts_and_human_clean_test_human_noise,voting_rf_lr_svc,1,210,210,105,74,0.7047619047619048,229.0,0.7047619047619048
