true_label,n,correct,accuracy
and_band,15,10,0.6666666666666666
and_kakaotalk,15,7,0.4666666666666667
and_line,15,12,0.8
and_messenger,15,15,1.0
and_naverworks,15,15,1.0
and_session,15,0,0.0
and_signal,15,12,0.8
and_slack,15,9,0.6
and_viber,15,12,0.8
and_webex,15,9,0.6
and_wire,15,15,1.0
ios_band,15,10,0.6666666666666666
ios_kakaotalk,15,15,1.0
ios_line,15,12,0.8
ios_naverworks,15,5,0.3333333333333333
ios_session,15,15,1.0
ios_signal,15,15,1.0
ios_slack,15,15,1.0
ios_viber,15,1,0.06666666666666667
ios_webex,15,10,0.6666666666666666
ios_wire,15,13,0.8666666666666667
